company,page,clusters,rmse
Barclays,10,100,0.7388177860611156
Barclays,11,2,0.7293774260393284
Barclays,11,5,0.8171654613965268
Barclays,11,8,0.7345354978797258
Barclays,11,12,0.8379211746598352
Barclays,11,15,0.7310680148457287
Barclays,11,18,0.7492489223740174
Barclays,11,22,0.7941071183805369
Barclays,11,25,0.8289152699646638
Barclays,11,29,0.7900769940744543
Barclays,11,32,0.7656507511263974
Barclays,11,35,0.8330636444259685
Barclays,11,39,0.7987576203230475
Barclays,11,42,0.757047732348812
Barclays,11,45,0.8172046605391807
Barclays,11,49,0.7623828251077056
Barclays,11,52,0.7705844989204989
Barclays,11,56,0.8736734631280794
Barclays,11,59,0.8487841028768695
Barclays,11,62,0.7535652730978019
Barclays,11,66,0.7868155393955225
Barclays,11,69,0.7675129438056802
Barclays,11,72,0.7872760071383446
Barclays,11,76,0.8316190878422763
Barclays,11,79,0.7800759007958433
Barclays,11,83,0.8171157916002081
Barclays,11,86,0.74361097966146
Barclays,11,89,0.8458325207558329
Barclays,11,93,0.8500140871250852
Barclays,11,96,0.8299515662772332
Barclays,11,100,0.8176647090349842
Barclays,12,2,0.7208185156572211
Barclays,12,5,0.72867411873671
Barclays,12,8,0.6986413543004508
Barclays,12,12,0.9871845978059849
Barclays,12,15,0.845313547444269
Barclays,12,18,0.7349202116669096
Barclays,12,22,0.7065916680505953
Barclays,12,25,0.6717362991470823
Barclays,12,29,0.7177539267315654
Barclays,12,32,0.7003991223779992
Barclays,12,35,0.7081194633100506
Barclays,12,39,0.7771045909269612
Barclays,12,42,0.6940096816955391
Barclays,12,45,0.7143662878979139
