page,method,threshold,k,rel_mse
3,method_4,0.56,11,0.14468851685523987
3,method_4,0.5700000000000001,12,0.13193942606449127
3,method_4,0.58,12,0.13193942606449127
3,method_4,0.59,13,0.12824876606464386
3,method_4,0.6,13,0.12824876606464386
3,method_4,0.61,14,0.1222122460603714
3,method_4,0.62,15,0.11744572222232819
3,method_4,0.63,15,0.11744572222232819
3,method_4,0.64,16,0.11442524194717407
3,method_4,0.65,17,0.10964702814817429
3,method_4,0.66,17,0.10964702814817429
3,method_4,0.67,18,0.10601060837507248
3,method_4,0.6799999999999999,19,0.1017751470208168
3,method_4,0.69,20,0.09809156507253647
3,method_4,0.7,21,0.09567722678184509
3,method_4,0.71,22,0.09227166324853897
3,method_4,0.72,23,0.08865150809288025
3,method_4,0.73,24,0.08151818066835403
3,method_4,0.74,25,0.07942598313093185
3,method_4,0.75,26,0.07454682141542435
3,method_4,0.76,27,0.07192640006542206
3,method_4,0.77,28,0.07054835557937622
3,method_4,0.78,30,0.06572843343019485
3,method_4,0.79,31,0.06425588577985764
3,method_4,0.8,33,0.05855365842580795
3,method_4,0.81,34,0.05738900601863861
3,method_4,0.8200000000000001,36,0.05443913862109184
3,method_4,0.8300000000000001,38,0.04833375662565231
3,method_4,0.8400000000000001,40,0.04587850719690323
3,method_4,0.8500000000000001,42,0.0418584868311882
3,method_4,0.86,44,0.03828457370400429
3,method_4,0.87,46,0.03549576923251152
3,method_4,0.88,48,0.03377559781074524
3,method_4,0.89,51,0.030573122203350067
3,method_4,0.9,54,0.026941467076539993
3,method_4,0.91,57,0.024244241416454315
3,method_4,0.9199999999999999,60,0.021583903580904007
3,method_4,0.9299999999999999,64,0.0178300142288208
3,method_4,0.94,69,0.015714162960648537
3,method_4,0.95,74,0.013232467696070671
3,method_4,0.96,80,0.009662824682891369
3,method_4,0.97,86,0.007648606784641743
3,method_4,0.98,95,0.005051739979535341
3,method_4,0.99,107,0.002070579444989562
4,method_1,0.5,2,0.2560581862926483
4,method_1,0.51,3,0.2536413371562958
4,method_1,0.52,3,0.2536413371562958
4,method_1,0.53,3,0.2536413371562958
4,method_1,0.54,3,0.2536413371562958
4,method_1,0.55,4,0.2370792031288147
4,method_1,0.56,4,0.2370792031288147
4,method_1,0.5700000000000001,4,0.2370792031288147
4,method_1,0.58,5,0.23577946424484253
4,method_1,0.59,5,0.23577946424484253
4,method_1,0.6,6,0.24269409477710724
4,method_1,0.61,6,0.24269409477710724
4,method_1,0.62,7,0.26055651903152466
4,method_1,0.63,7,0.26055651903152466
4,method_1,0.64,8,0.19191685318946838
4,method_1,0.65,8,0.19191685318946838
4,method_1,0.66,9,0.18352696299552917
4,method_1,0.67,9,0.18352696299552917
4,method_1,0.6799999999999999,10,0.17881299555301666
4,method_1,0.69,11,0.17869414389133453
4,method_1,0.7,12,0.17290501296520233
4,method_1,0.71,13,0.16376656293869019
4,method_1,0.72,14,0.143045574426651
4,method_1,0.73,15,0.14190013706684113
4,method_1,0.74,16,0.1400231570005417
4,method_1,0.75,17,0.13213439285755157
4,method_1,0.76,18,0.13367749750614166
4,method_1,0.77,19,0.12768332660198212
4,method_1,0.78,20,0.12276467680931091
4,method_1,0.79,22,0.11613672226667404
4,method_1,0.8,23,0.11530062556266785
4,method_1,0.81,25,0.11568011343479156
4,method_1,0.8200000000000001,26,0.11829724907875061
4,method_1,0.8300000000000001,28,0.11835234612226486
4,method_1,0.8400000000000001,30,0.11330651491880417
4,method_1,0.8500000000000001,32,0.10735319554805756
4,method_1,0.86,34,0.11350768059492111
4,method_1,0.87,36,0.10523509979248047
