-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::linalg_svd         0.00%     300.124us        35.21%        6.058s     189.326ms       0.000us         0.00%       29.076s     908.632ms           0 B           0 B     317.22 MB           0 B            32  
                                      aten::_linalg_svd         1.91%     329.287ms        35.21%        6.058s     189.316ms        4.617s        42.25%       29.076s     908.632ms           0 B      -4.00 KB     317.22 MB      63.77 MB            32  
                                       cudaLaunchKernel        11.62%        2.000s        13.83%        2.380s       4.217us       0.000us         0.00%       13.270s      23.505us           0 B           0 B           0 B           0 B        564545  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        9.242s        84.58%        9.242s        9.242s           0 B           0 B           0 B           0 B             1  
                                           Buffer Flush         0.06%      10.457ms         0.06%      10.475ms     177.542us        7.655s        70.06%        7.655s     129.752ms           0 B           0 B       8.09 MB       8.09 MB            59  
                                Activity Buffer Request         0.63%     109.155ms         0.63%     109.155ms       1.985ms        6.772s        61.97%        6.772s     123.124ms           0 B           0 B           0 B           0 B            55  
                       Runtime Triggered Module Loading         2.06%     354.915ms         2.06%     354.915ms       3.858ms        5.596s        51.21%        5.596s      60.827ms           0 B           0 B           0 B           0 B            92  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us        4.545s        41.59%        4.545s      14.709ms           0 B           0 B           0 B           0 B           309  
                                  Lazy Function Loading         0.03%       4.812ms         0.03%       4.812ms      45.831us        4.444s        40.67%        4.444s      42.321ms           0 B           0 B           0 B           0 B           105  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.871s        17.12%        1.871s      37.983us           0 B           0 B           0 B           0 B         49252  
                                           aten::matmul         0.50%      85.311ms         3.10%     534.298ms      60.868us       0.000us         0.00%        1.306s     148.752us           0 B           0 B       2.95 GB           0 B          8778  
                                           aten::linear         0.18%      30.844ms         2.23%     383.741ms      56.926us       0.000us         0.00%        1.264s     187.525us           0 B           0 B       3.23 GB           0 B          6741  
                                               aten::mm         0.61%     105.449ms         1.02%     174.715ms      36.977us        1.220s        11.16%        1.226s     259.474us           0 B           0 B       1.47 GB       1.47 GB          4725  
void ormtr_gemv_c<float, 4>(long, long, float const*...         0.00%       0.000us         0.00%       0.000us       0.000us     876.287ms         8.02%     876.287ms       6.686us           0 B           0 B           0 B           0 B        131072  
void magma_sgemmEx_kernel<float, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     806.575ms         7.38%     806.575ms       2.791ms           0 B           0 B           0 B           0 B           289  
void ormtr_gerc<float, 5, 3, 1>(int, float const*, l...         0.00%       0.000us         0.00%       0.000us       0.000us     584.915ms         5.35%     584.915ms       4.463us           0 B           0 B           0 B           0 B        131072  
void geqr2_smem_domino_fast<float, float, 8, 512>(in...         0.00%       0.000us         0.00%       0.000us       0.000us     527.929ms         4.83%     527.929ms     515.556us           0 B           0 B           0 B           0 B          1024  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.02%       3.662ms         0.06%      10.142ms       3.357us       0.000us         0.00%     493.913ms     163.493us           0 B           0 B           0 B           0 B          3021  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     401.580ms         3.68%     401.580ms     124.714us           0 B           0 B           0 B           0 B          3220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 17.208s
Self CUDA time total: 10.927s
