page,method,k,rmse,cos_sim
2,method_2,98,0.010515121156487464,0.9952117800712585
2,method_2,101,0.010535216994030018,0.9952116012573242
2,method_2,104,0.00965715193656956,0.9959841370582581
2,method_2,107,0.009632110973395917,0.9960142970085144
2,method_2,110,0.008336862254068359,0.9970093369483948
2,method_2,113,0.0058593253292521545,0.9985123872756958
2,method_2,116,0.004849188300471179,0.9989833235740662
2,method_2,119,0.00392325942969506,0.9993357062339783
2,method_2,122,0.0028008969816130757,0.9996638298034668
2,method_2,125,0.002205240555024901,0.9997928142547607
2,method_2,128,3.0078789532173036e-06,1.0
2,method_2,131,3.0078789532173036e-06,1.0
2,method_2,134,3.0078789532173036e-06,1.0
2,method_2,137,3.0078789532173036e-06,1.0
2,method_2,140,3.0078789532173036e-06,1.0
2,method_2,143,3.0078789532173036e-06,1.0
2,method_2,146,3.0078789532173036e-06,1.0
2,method_2,150,3.0078789532173036e-06,1.0
2,method_3,1,0.08321137991774975,0.6333440542221069
2,method_3,4,0.06428713810546456,0.8011099100112915
2,method_3,7,0.05639264890500986,0.851651668548584
2,method_3,10,0.05485420915594084,0.8603230118751526
2,method_3,13,0.05230794124795955,0.8736146092414856
2,method_3,16,0.04492819783038421,0.9083653688430786
2,method_3,19,0.0433531588639251,0.91499924659729
2,method_3,22,0.04100738595908571,0.9244570136070251
2,method_3,25,0.040235185904340186,0.9276598691940308
2,method_3,28,0.039191295961635265,0.9313663244247437
2,method_3,31,0.03884145061894667,0.932564377784729
2,method_3,34,0.036919749291178104,0.9395923018455505
2,method_3,37,0.03591824954090645,0.9426611065864563
2,method_3,40,0.036007237667958804,0.9424841403961182
2,method_3,43,0.033882337817433036,0.9490396976470947
2,method_3,46,0.03277065548040916,0.9524129033088684
2,method_3,49,0.032054639409140974,0.9544814825057983
2,method_3,52,0.030891442952484346,0.9577744007110596
2,method_3,55,0.030409089849464235,0.9590969085693359
2,method_3,58,0.028537516445736547,0.9640803337097168
2,method_3,61,0.02801468481060883,0.965398907661438
2,method_3,64,0.027399043392887318,0.9669504165649414
2,method_3,67,0.026683587870264223,0.9687472581863403
2,method_3,70,0.02637842830598936,0.969470202922821
2,method_3,73,0.025206046257654623,0.9721195697784424
2,method_3,77,0.02409586494405688,0.9745808243751526
2,method_3,80,0.023648199085259988,0.9755223989486694
2,method_3,83,0.022809772967371564,0.9772164821624756
2,method_3,86,0.02238709293998606,0.9780512452125549
2,method_3,89,0.021714902079612467,0.979354739189148
2,method_3,92,0.021044284939254723,0.980697751045227
2,method_3,95,0.020695612664564215,0.9813200831413269
2,method_3,98,0.020247070566960342,0.9820777177810669
2,method_3,101,0.020026927401683083,0.9824655652046204
2,method_3,104,0.019486892517097204,0.9834054112434387
2,method_3,107,0.019326472404161497,0.9836807250976562
2,method_3,110,0.018497358869762233,0.985076904296875
2,method_3,113,0.017774281344188896,0.98624587059021
2,method_3,116,0.017355661035531166,0.9868946671485901
2,method_3,119,0.017026104592742543,0.9873874187469482
2,method_3,122,0.016621415630175645,0.9879741668701172
2,method_3,125,0.01635827322068181,0.9883489608764648
2,method_3,128,0.0158925919380353,0.9890183806419373
2,method_3,131,0.015131597652448633,0.9900580644607544
2,method_3,134,0.014547484439636865,0.9908162355422974
2,method_3,137,0.013690285760969367,0.9918749928474426
2,method_3,140,0.012778682981460189,0.9929189682006836
2,method_3,143,0.011979403096091105,0.993768572807312
2,method_3,146,0.011332216839222312,0.9944219589233398
2,method_3,150,0.010531140095337307,0.9951860904693604
2,method_4,1,0.08945274790222109,0.5535528659820557
2,method_4,4,0.06042665998905086,0.8267440795898438
2,method_4,7,0.049342962706429336,0.8882358074188232
2,method_4,10,0.0437339880606075,0.9133533835411072
2,method_4,13,0.041097661129592504,0.9239044189453125
2,method_4,16,0.03807057015627137,0.9350784420967102
2,method_4,19,0.03559248861337636,0.9435011148452759
2,method_4,22,0.03300139206737122,0.9516301155090332
2,method_4,25,0.031104513785606344,0.9571519494056702
2,method_4,28,0.029655771570321034,0.9611295461654663
2,method_4,31,0.028116571343921492,0.9651308059692383
2,method_4,34,0.026436209848247766,0.9692384004592896
2,method_4,37,0.025250294671251297,0.9719753265380859
2,method_4,40,0.02395080454806837,0.9748221039772034
2,method_4,43,0.022445721499819136,0.9779216647148132
2,method_4,46,0.020611732443880978,0.9814149737358093
2,method_4,49,0.01938917370553427,0.9835723042488098
2,method_4,52,0.01747613199078495,0.9866749048233032
2,method_4,55,0.016744939429606115,0.9877734184265137
2,method_4,58,0.01559660471604452,0.9894015192985535
2,method_4,61,0.014581052942546075,0.9907429814338684
2,method_4,64,0.013783586566507015,0.9917320013046265
2,method_4,67,0.013387808722358563,0.9922018051147461
2,method_4,70,0.012517715613867041,0.9931859970092773
2,method_4,73,0.012044883510540255,0.9936925172805786
2,method_4,77,0.010779717907616117,0.9949513077735901
2,method_4,80,0.01013988618859921,0.9955341815948486
2,method_4,83,0.00926446726922343,0.9962733387947083
2,method_4,86,0.008561828611051338,0.9968180060386658
2,method_4,89,0.007863080306287911,0.9973168969154358
2,method_4,92,0.00720097443338666,0.9977502226829529
2,method_4,95,0.006613195530994391,0.9981029033660889
2,method_4,98,0.0061733506440286405,0.9983470439910889
2,method_4,101,0.005743101797940413,0.9985695481300354
2,method_4,104,0.00525652081776409,0.9988018274307251
2,method_4,107,0.004791784599436595,0.9990044236183167
2,method_4,110,0.004200151459106434,0.9992352724075317
2,method_4,113,0.0036934598464188036,0.9994086027145386
2,method_4,116,0.0033885983670322107,0.9995023012161255
2,method_4,119,0.0024124749350726664,0.9997477531433105
2,method_4,122,0.001734415376932129,0.999869704246521
2,method_4,125,0.0011848744233984897,0.9999392032623291
2,method_4,128,2.0426979572458742e-06,1.0
2,method_4,131,2.0426979572458742e-06,1.0
2,method_4,134,2.0426979572458742e-06,1.0
2,method_4,137,2.0426979572458742e-06,1.0
2,method_4,140,2.0426979572458742e-06,1.0
2,method_4,143,2.0426979572458742e-06,1.0
2,method_4,146,2.0426979572458742e-06,1.0
2,method_4,150,2.0426979572458742e-06,1.0
3,method_1,1,0.056903166925836045,0.8218929171562195
3,method_1,4,0.052963162320161766,0.8474026918411255
3,method_1,7,0.044381401828418335,0.8955456018447876
3,method_1,10,0.042331003735339344,0.9055214524269104
3,method_1,13,0.04031308539653056,0.9146788716316223
3,method_1,16,0.03802437575268022,0.9245548844337463
3,method_1,19,0.03467683779406923,0.9380589723587036
3,method_1,22,0.03372074142385385,0.9414389133453369
3,method_1,25,0.03134864273777007,0.9494602084159851
3,method_1,28,0.030235354057435857,0.9531195759773254
3,method_1,31,0.02847206425231276,0.9585150480270386
3,method_1,34,0.02823906375367037,0.9590920209884644
3,method_1,37,0.028271492239929582,0.9590613842010498
3,method_1,40,0.027148953611284478,0.9623540639877319
3,method_1,43,0.02824191946579147,0.9596976041793823
3,method_1,46,0.027750572617458228,0.9610509872436523
3,method_1,49,0.025626812564024496,0.9667209386825562
3,method_1,52,0.023363007439267076,0.9722553491592407
3,method_1,55,0.02227090701812001,0.9748056530952454
3,method_1,58,0.02284180965928808,0.973551869392395
3,method_1,61,0.023392079469446492,0.9724387526512146
3,method_1,64,0.02030670597470045,0.9791333675384521
3,method_1,67,0.020364806995231726,0.979075014591217
3,method_1,70,0.018022429742168587,0.9835754632949829
3,method_1,73,0.017181143242170675,0.9851012229919434
3,method_1,77,0.015477989722592797,0.9879224896430969
3,method_1,80,0.014274435078094644,0.9898421168327332
3,method_1,83,0.01296564085998465,0.9915733337402344
3,method_1,86,0.012307438372607208,0.9923885464668274
3,method_1,89,0.010681666634303541,0.9942792654037476
3,method_1,92,0.009424371530747043,0.9955298900604248
3,method_1,95,0.009130411962649947,0.9958073496818542
3,method_1,98,0.009616409573038998,0.9953517913818359
3,method_1,101,0.008939498668510466,0.9959825277328491
3,method_1,104,0.0076942160156211175,0.9970237016677856
3,method_1,107,0.006060906634327604,0.998156726360321
3,method_1,110,0.005813118959898215,0.9983001947402954
3,method_1,113,0.004881229181181264,0.9988034963607788
3,method_1,116,0.004386913258081627,0.9990324974060059
3,method_1,119,0.0037795016768629465,0.9992820024490356
3,method_1,122,0.0022665341692920454,0.9997420907020569
3,method_1,125,0.0009951224203784918,0.9999504089355469
3,method_1,128,1.4867241363405388e-06,1.0
3,method_1,131,1.4867241363405388e-06,1.0
3,method_1,134,1.4867241363405388e-06,1.0
3,method_1,137,1.4867241363405388e-06,1.0
3,method_1,140,1.4867241363405388e-06,1.0
3,method_1,143,1.4867241363405388e-06,1.0
3,method_1,146,1.4867241363405388e-06,1.0
3,method_1,150,1.4867241363405388e-06,1.0
3,method_2,1,0.08118848500836237,0.5810302495956421
