method,k,mean,std,min,max
method_1,122,0.019410048347096292,0.006476125787398844,9.543506801197075e-06,0.03911927538533267
method_1,125,0.011367482509635261,0.004159621158126566,9.543506801197075e-06,0.024901499752880033
method_1,128,1.4428083089330839e-05,1.9517604310221967e-06,9.543506801197075e-06,1.951776523399933e-05
method_1,131,1.4428083089330839e-05,1.9517604310221967e-06,9.543506801197075e-06,1.951776523399933e-05
method_1,134,1.4428083089330839e-05,1.9517604310221967e-06,9.543506801197075e-06,1.951776523399933e-05
method_1,137,1.4428083089330839e-05,1.9517604310221967e-06,9.543506801197075e-06,1.951776523399933e-05
method_1,140,1.4428083089330839e-05,1.9517604310221967e-06,9.543506801197075e-06,1.951776523399933e-05
method_1,143,1.4428083089330839e-05,1.9517604310221967e-06,9.543506801197075e-06,1.951776523399933e-05
method_1,146,1.4428083089330839e-05,1.9517604310221967e-06,9.543506801197075e-06,1.951776523399933e-05
method_1,150,1.4428083089330839e-05,1.9517604310221967e-06,9.543506801197075e-06,1.951776523399933e-05
method_2,1,0.8066703364538848,0.044213365533074526,0.7030542445588585,1.0029733252301043
method_2,4,0.5974907623296928,0.04191703903029619,0.5008700118152183,0.7565340055948807
method_2,7,0.5338620792135587,0.04052321308977776,0.44942326091223067,0.7234662101207243
method_2,10,0.49760422307754887,0.03981006084702304,0.40062913813918527,0.6847618008776046
method_2,13,0.4635192919545561,0.035004935795366135,0.38056392390033245,0.6052752044186575
method_2,16,0.43538147543356925,0.03313521630347201,0.33871016803655624,0.5507665178562441
method_2,19,0.41308565832275124,0.03314533718997773,0.3108066378751931,0.508468393585219
method_2,22,0.39324403746176567,0.032500313543871784,0.30026833401856234,0.4879118948921745
method_2,25,0.37594639447586264,0.03280453429051684,0.2842905791221012,0.48792949229027605
method_2,28,0.35907216401743114,0.03308356771031541,0.25710624918225333,0.47301522053047934
method_2,31,0.3435341091785057,0.03161380357348827,0.23933293174244966,0.4538805696608976
method_2,34,0.3282217260844088,0.03247295443705846,0.21602213801000672,0.4422047194050674
method_2,37,0.31294827538664605,0.033548043329447635,0.18790733804476908,0.42719502514296886
method_2,40,0.30084795226576144,0.03523396560708299,0.17005616486566213,0.41073953788206646
method_2,43,0.2887898260275667,0.03574678613059001,0.16312442057754364,0.39966502107828916
method_2,46,0.27655108745314333,0.035296518808630224,0.1533693852965492,0.3766772654173636
method_2,49,0.2647088003490689,0.03486519622661593,0.14981087313206698,0.35583092502108665
method_2,52,0.2525957766126793,0.03334932213756174,0.1388444560422693,0.334915657539359
method_2,55,0.23995300165979186,0.03299858933692395,0.1218993189940756,0.30631770494731064
method_2,58,0.2289301229023577,0.03231104642319635,0.12161102544290545,0.2940525909448375
method_2,61,0.2189565403255935,0.03195344272520704,0.1103831030474388,0.28482250346283255
